ingredient,pairings
starfruit (word emb.),"['blackberry brandy', 'kiwifruit', 'prickly pear', 'cherimoya', 'black raspberry', 'passionfruit', 'satsuma orange', 'red raspberry', 'feijoa', 'pawpaw']"
strawberry (weighted),"['apple', 'grape', 'raspberry', 'pineapple', 'cranberry', 'gooseberry', 'banana', 'peach', 'mango', 'plum']"
strawberry (n. moledules),"['apple', 'grape', 'tea', 'pineapple', 'mango', 'guava', 'apricot', 'passionfruit', 'tomato', 'banana']"
strawberry (word emb.),"['red raspberry', 'blackberry', 'peach', 'black raspberry', 'raspberry', 'raspberry brandy', 'melon', 'blueberry', 'blackberry brandy', 'passionfruit']"
strawberry wine (weighted),"['champagne', 'rose wine', 'plum wine', 'sparkling wine', 'port wine', 'red wine', 'sherry', 'white wine', 'wine', 'blue cheese']"
strawberry wine (n. moledules),"['sherry', 'white wine', 'port wine', 'red wine', 'sparkling wine', 'wine', 'rose wine', 'plum wine', 'champagne', 'beer']"
strawberry wine (word emb.),"['loganberry', 'black raspberry', 'cloudberry', 'pummelo', 'white currant', 'feijoa', 'citronella', 'japanese whisky', 'bilberry', 'red raspberry']"
summer savory (weighted),"['cumin', 'saffron', 'sage', 'turmeric', 'winter savory', 'tarragon', 'anise', 'allspice', 'mint', 'thyme']"
summer savory (n. moledules),"['marjoram', 'oregano', 'rosemary', 'ginger', 'laurel', 'black pepper', 'basil', 'nutmeg', 'winter savory', 'lemon']"
summer savory (word emb.),"['marjoram', 'rutabaga', 'winter savory', 'lovage', 'laurel', 'port wine', 'sage', 'turnip', 'lima beans', 'parsnip']"
sunflower (weighted),"['mung bean', 'dates', 'japanese pumpkin', 'dandelion', 'chard', 'chicory', 'cashew nut', 'alfalfa', 'garden cress', 'watercress']"
sunflower (n. moledules),"['coriander', 'black pepper', 'nutmeg', 'carrot', 'laurel', 'ginger', 'pepper', 'dill', 'oregano', 'basil']"
sunflower (word emb.),"['dates', 'flaxseed', 'poppy seed', 'carob', 'cashew nut', 'arrowroot', 'almond', 'safflower', 'nigella seed', 'soybean']"
sweet potato (weighted),"['mung bean', 'dates', 'japanese pumpkin', 'artichoke', 'chicory', 'dandelion', 'chard', 'garden cress', 'watercress', 'alfalfa']"
sweet potato (n. moledules),"['tomato', 'potato', 'guava', 'tea', 'peach', 'mango', 'peanut', 'soybean', 'green beans', 'grape']"
sweet potato (word emb.),"['pumpkin', 'turmeric', 'turnip', 'walnut', 'rutabaga', 'clove', 'allspice', 'leek', 'chicken', 'asafoetida']"
swiss cheese (weighted),"['cheddar cheese', 'blue cheese', 'munster cheese', 'emmental cheese', 'mozzarella cheese', 'roquefort cheese', 'romano cheese', 'cream cheese', 'camembert cheese', 'comte cheese']"
swiss cheese (n. moledules),"['cheddar cheese', 'blue cheese', 'gruyere cheese', 'camembert cheese', 'parmesan cheese', 'feta cheese', 'mozzarella cheese', 'comte cheese', 'emmental cheese', 'romano cheese']"
swiss cheese (word emb.),"['gruyere cheese', 'provolone cheese', 'cheddar cheese', 'cheese', 'comte cheese', 'emmental cheese', 'white bread', 'mozzarella cheese', 'parmesan cheese', 'macaroni']"
tamarind (weighted),"['lime', 'artichoke', 'lemon', 'sunflower', 'alfalfa', 'mandarin orange', 'safflower', 'chervil', 'mustard', 'sweet potato']"
tamarind (n. moledules),"['tea', 'tomato', 'mango', 'guava', 'potato', 'ginger', 'chocolate', 'grape', 'corn', 'cocoa']"
tamarind (word emb.),"['lemon grass', 'jasmine', 'curry leaf', 'lime zest', 'mung bean', 'mustard oil', 'cashew nut', 'peanut oil', 'papaya', 'asafoetida']"
tangerine (weighted),"['caraway', 'lavender', 'bitter orange', 'bergamot', 'eucalyptus', 'fish oil', 'rose', 'basmati rice', 'grapefruit', 'corn oil']"
tangerine (n. moledules),"['orange', 'grapefruit', 'ginger', 'tea', 'strawberry', 'black currant', 'mandarin orange', 'thyme', 'laurel', 'lemon']"
tangerine (word emb.),"['kumquat', 'citrus', 'grapefruit', 'green tea', 'sparkling wine', 'rose wine', 'citrus zest', 'lemon balm', 'melon', 'black tea']"
tarragon (weighted),"['saffron', 'cumin', 'sage', 'turmeric', 'anise', 'arrowroot', 'thyme', 'fennel', 'capers', 'summer savory']"
tarragon (n. moledules),"['basil', 'dill', 'oregano', 'laurel', 'cinnamon', 'black pepper', 'marjoram', 'coriander', 'ginger', 'rosemary']"
tarragon (word emb.),"['chervil', 'truffle', 'endive', 'champagne', 'asparagus', 'caviar', 'scallop', 'goat cheese', 'sorrel', 'roquefort cheese']"
tea (weighted),"['orange', 'grape', 'mango', 'potato', 'black currant', 'apricot', 'guava', 'apple', 'ginger', 'tomato']"
tea (n. moledules),"['guava', 'tomato', 'chocolate', 'cocoa', 'mango', 'apple', 'grape', 'potato', 'orange', 'papaya']"
tea (word emb.),"['black tea', 'green tea', 'lemon balm', 'citrus', 'chamomile', 'lavender', 'kumquat', 'tangerine', 'rose wine', 'citrus zest']"
thyme (weighted),"['oregano', 'cumin', 'sage', 'marjoram', 'turmeric', 'tarragon', 'rosemary', 'saffron', 'fennel', 'anise']"
thyme (n. moledules),"['oregano', 'rosemary', 'marjoram', 'basil', 'spearmint', 'ginger', 'dill', 'coriander', 'laurel', 'black pepper']"
thyme (word emb.),"['parsnip', 'turnip', 'tarragon', 'rutabaga', 'marjoram', 'parmesan cheese', 'romano cheese', 'summer savory', 'rosemary', 'white wine']"
tobacco (weighted),"['nut', 'cider', 'raspberry brandy', 'brandy', 'malt', 'blackberry brandy', 'cherry brandy', 'rose wine', 'swiss cheese', 'plum wine']"
tobacco (n. moledules),"['tea', 'coffee', 'beer', 'sherry', 'chocolate', 'cocoa', 'rum', 'soybean', 'malt whisky', 'potato']"
tobacco (word emb.),"['bilberry', 'feijoa', 'pummelo', 'japanese whisky', 'wheaten bread', 'valerian', 'sheep cheese', 'white currant', 'canadian whisky', 'litchi']"
tomato (weighted),"['olive oil', 'green beans', 'mango', 'potato', 'pepper', 'beans', 'olive', 'plum', 'rice', 'soybean']"
tomato (n. moledules),"['tea', 'potato', 'mango', 'guava', 'apple', 'grape', 'soybean', 'cocoa', 'chocolate', 'strawberry']"
tomato (word emb.),"['oregano', 'olive oil', 'marjoram', 'kidney beans', 'olive', 'lamb', 'cheese', 'mozzarella cheese', 'beans', 'potato']"
truffle (weighted),"['fatty fish', 'white pepper', 'kidney beans', 'blue cheese', 'swiss cheese', 'cheddar cheese', 'sheep cheese', 'malt', 'goat cheese', 'caviar']"
truffle (n. moledules),"['mushroom', 'camembert cheese', 'swiss cheese', 'cheddar cheese', 'gruyere cheese', 'parmesan cheese', 'tea', 'blue cheese', 'roquefort cheese', 'cottage cheese']"
truffle (word emb.),"['chervil', 'tarragon', 'gruyere cheese', 'camembert cheese', 'chestnut', 'goat cheese', 'roquefort cheese', 'dandelion', 'brussels sprout', 'white wine']"
turkey (weighted),"['cod', 'buttermilk', 'soy sauce', 'oyster', 'beef', 'pork', 'honey', 'chicken', 'yogurt', 'wholewheat bread']"
turkey (n. moledules),"['chicken', 'beef', 'pork', 'peas', 'oats', 'rice', 'potato', 'green beans', 'lima beans', 'mushroom']"
turkey (word emb.),"['pork', 'cheddar cheese', 'beef', 'marjoram', 'cheese', 'lentils', 'kidney beans', 'macaroni', 'ham', 'beans']"
turmeric (weighted),"['cumin', 'saffron', 'thyme', 'sage', 'anise', 'tarragon', 'summer savory', 'fennel', 'marjoram', 'arrowroot']"
turmeric (n. moledules),"['ginger', 'rosemary', 'oregano', 'black pepper', 'carrot', 'thyme', 'marjoram', 'laurel', 'cinnamon', 'coriander']"
turmeric (word emb.),"['basmati rice', 'tamarind', 'fenugreek', 'cardamom', 'chickpea', 'coriander', 'cashew nut', 'curry leaf', 'jasmine', 'saffron']"
turnip (weighted),"['chard', 'japanese pumpkin', 'dates', 'dandelion', 'chicory', 'zucchini', 'horseradish', 'mung bean', 'rye', 'rutabaga']"
turnip (n. moledules),"['broccoli', 'cabbage', 'green beans', 'pepper', 'lettuce', 'carrot', 'horseradish', 'parsnip', 'cucumber', 'wheat']"
turnip (word emb.),"['rutabaga', 'parsnip', 'leek', 'kohlrabi', 'lima beans', 'potato', 'barley', 'green beans', 'celery', 'summer savory']"
valerian (weighted),"['fir', 'hops', 'lavender', 'lamb', 'citronella', 'asafoetida', 'white currant', 'white pepper', 'geranium', 'eucalyptus']"
valerian (n. moledules),"['lavender', 'thyme', 'beer', 'papaya', 'carrot', 'white pepper', 'cheddar cheese', 'cider', 'hops', 'strawberry']"
valerian (word emb.),"['citronella', 'bilberry', 'wheaten bread', 'japanese whisky', 'pummelo', 'canadian whisky', 'white currant', 'feijoa', 'cloudberry', 'japanese persimmon']"
vanilla (weighted),"['cloudberry', 'sour cherry', 'durian', 'mushroom', 'buckwheat', 'water chestnut', 'coconut', 'rice', 'rocket salad', 'raspberry']"
vanilla (n. moledules),"['tea', 'apple', 'guava', 'chocolate', 'cocoa', 'strawberry', 'mushroom', 'tomato', 'grape', 'mango']"
vanilla (word emb.),"['banana', 'chocolate', 'blueberry', 'dates', 'pecan', 'oats', 'red raspberry', 'blackberry', 'rhubarb', 'milk fat']"
vinegar (weighted),"['wine', 'sherry', 'honey', 'port wine', 'whisky', 'yogurt', 'beer', 'butter', 'plum wine', 'red wine']"
vinegar (n. moledules),"['grape', 'apple', 'pineapple', 'beer', 'strawberry', 'cocoa', 'chocolate', 'tomato', 'wine', 'tea']"
vinegar (word emb.),"['apple cider vinegar', 'radish', 'pork', 'red wine', 'star anise', 'cabbage', 'lettuce', 'wasabi', 'apple brandy', 'safflower']"
walnut (weighted),"['pistachio', 'cashew nut', 'zucchini', 'brazil nut', 'hazelnut', 'beetroot', 'dates', 'wheat', 'brussels sprout', 'almond']"
walnut (n. moledules),"['tea', 'corn', 'pepper', 'tomato', 'grape', 'peas', 'peanut butter', 'peanut', 'fig', 'laurel']"
walnut (word emb.),"['nut', 'fig', 'bartlett pear', 'hazelnut', 'pecan', 'almond', 'dates', 'vanilla', 'currant', 'oats']"
wasabi (weighted),"['water chestnut', 'borage', 'kelp', 'arrowroot', 'capers', 'japanese persimmon', 'burdock', 'carob', 'shallot', 'chervil']"
wasabi (n. moledules),"['cabbage', 'horseradish', 'mustard', 'canola oil', 'cauliflower', 'broccoli', 'brussels sprout', 'turnip', 'rocket salad', 'radish']"
wasabi (word emb.),"['bonito', 'sake', 'radish', 'kelp', 'lotus', 'sesame', 'peanut oil', 'soybean', 'mung bean', 'burdock']"
water chestnut (weighted),"['wasabi', 'kelp', 'borage', 'arrowroot', 'capers', 'japanese persimmon', 'burdock', 'carob', 'shallot', 'chervil']"
water chestnut (n. moledules),"['strawberry', 'mushroom', 'lima beans', 'coconut', 'green beans', 'beans', 'banana', 'apple', 'papaya', 'grape']"
water chestnut (word emb.),"['peanut oil', 'sake', 'oyster', 'mung bean', 'sesame', 'rice', 'soybean', 'bonito', 'soy sauce', 'broccoli']"
watercress (weighted),"['dandelion', 'mung bean', 'alfalfa', 'japanese pumpkin', 'dates', 'garden cress', 'chard', 'radish', 'chicory', 'turnip']"
watercress (n. moledules),"['green beans', 'tea', 'tomato', 'guava', 'peach', 'rice', 'soybean', 'pineapple', 'apple', 'peanut butter']"
watercress (word emb.),"['endive', 'chicory', 'champagne', 'roquefort cheese', 'dandelion', 'grapefruit', 'chive', 'lettuce', 'chervil', 'radish']"
wheat (weighted),"['zucchini', 'pistachio', 'beetroot', 'broccoli', 'hazelnut', 'chard', 'japanese pumpkin', 'cashew nut', 'dates', 'cucumber']"
wheat (n. moledules),"['corn', 'peas', 'potato', 'apple', 'fig', 'green beans', 'cucumber', 'carrot', 'apricot', 'tea']"
wheat (word emb.),"['flaxseed', 'buckwheat', 'sapodilla', 'pecan', 'dates', 'sheep milk', 'oats', 'sunflower', 'wheaten bread', 'garden cress']"
wheaten bread (weighted),"['sheep milk', 'coffee', 'caviar', 'goat milk', 'milk powder', 'milk fat', 'cocoa', 'malt', 'shrimp', 'squid']"
wheaten bread (n. moledules),"['coffee', 'beer', 'chocolate', 'cocoa', 'peanut', 'pork', 'tea', 'peanut butter', 'malt', 'soybean']"
wheaten bread (word emb.),"['bilberry', 'valerian', 'japanese whisky', 'pummelo', 'citronella', 'japanese persimmon', 'white currant', 'cloudberry', 'limburger cheese', 'canadian whisky']"
whisky (weighted),"['canadian whisky', 'scotch whisky', 'bourbon whisky', 'malt whisky', 'japanese whisky', 'port wine', 'rum', 'sherry', 'butter', 'wine']"
whisky (n. moledules),"['canadian whisky', 'bourbon whisky', 'scotch whisky', 'malt whisky', 'japanese whisky', 'rum', 'beer', 'sherry', 'white wine', 'cocoa']"
whisky (word emb.),"['cherry brandy', 'sour cherry', 'black currant', 'blackberry brandy', 'bergamot', 'scotch whisky', 'angelica', 'apple brandy', 'cherimoya', 'gooseberry']"
white bread (weighted),"['macaroni', 'ham', 'currant', 'white currant', 'lamb', 'barley', 'potato', 'lima beans', 'onion', 'corn']"
white bread (n. moledules),"['barley', 'potato', 'chocolate', 'corn', 'oats', 'onion', 'cocoa', 'kidney beans', 'coffee', 'rice']"
white bread (word emb.),"['bread', 'swiss cheese', 'gruyere cheese', 'rye bread', 'camembert cheese', 'brandy', 'mace', 'winter savory', 'provolone cheese', 'comte cheese']"
white currant (weighted),"['currant', 'bourbon whisky', 'canadian whisky', 'japanese whisky', 'scotch whisky', 'malt whisky', 'cider', 'whisky', 'cherry brandy', 'plum brandy']"
white currant (n. moledules),"['red currant', 'currant', 'black currant', 'tea', 'guava', 'papaya', 'plum', 'rum', 'peach', 'soybean']"
white currant (word emb.),"['japanese whisky', 'pummelo', 'bilberry', 'valerian', 'canadian whisky', 'soursop', 'cherimoya', 'citronella', 'feijoa', 'wheaten bread']"
white pepper (weighted),"['truffle', 'fatty fish', 'lean fish', 'scallop', 'ricotta cheese', 'malt', 'egg', 'sheep cheese', 'goat cheese', 'feta cheese']"
white pepper (n. moledules),"['black pepper', 'tea', 'black currant', 'papaya', 'blueberry', 'spearmint', 'pepper', 'lemon', 'laurel', 'tarragon']"
white pepper (word emb.),"['black pepper', 'pepper', 'clam', 'chervil', 'crab', 'scallop', 'tarragon', 'squid', 'gruyere cheese', 'asparagus']"
white wine (weighted),"['red wine', 'plum wine', 'rose wine', 'champagne', 'port wine', 'sherry', 'strawberry wine', 'wine', 'cheddar cheese', 'sparkling wine']"
white wine (n. moledules),"['red wine', 'sherry', 'sparkling wine', 'port wine', 'strawberry wine', 'rose wine', 'wine', 'plum wine', 'champagne', 'apple']"
white wine (word emb.),"['red wine', 'tarragon', 'chervil', 'scallop', 'truffle', 'clam', 'asparagus', 'white pepper', 'squid', 'sherry']"
wholewheat bread (weighted),"['cod', 'egg', 'yogurt', 'rye bread', 'buttermilk', 'shrimp', 'turkey', 'scallop', 'crab', 'cheese']"
wholewheat bread (n. moledules),"['beer', 'coffee', 'tea', 'cocoa', 'chocolate', 'tomato', 'peanut', 'peanut butter', 'apple', 'grape']"
wholewheat bread (word emb.),"['valerian', 'bilberry', 'pummelo', 'canadian whisky', 'wheaten bread', 'citronella', 'cloudberry', 'japanese whisky', 'limburger cheese', 'plumcot']"
wild cherry (weighted),"['caviar', 'peanut oil', 'paneer', 'truffle', 'fatty fish', 'turkey', 'plum brandy', 'milk fat', 'scotch whisky', 'kidney beans']"
wild cherry (n. moledules),"['white wine', 'apple', 'banana', 'papaya', 'grape', 'cider', 'scotch whisky', 'apricot', 'tea', 'red wine']"
wild cherry (word emb.),"['canadian whisky', 'japanese whisky', 'soursop', 'pummelo', 'white currant', 'valerian', 'durian', 'sapodilla', 'satsuma orange', 'plum brandy']"
wine (weighted),"['sherry', 'port wine', 'plum wine', 'champagne', 'rose wine', 'red wine', 'strawberry wine', 'sparkling wine', 'white wine', 'beer']"
wine (n. moledules),"['sherry', 'port wine', 'red wine', 'white wine', 'sparkling wine', 'champagne', 'strawberry wine', 'rose wine', 'plum wine', 'apple']"
wine (word emb.),"['oyster', 'mung bean', 'peanut oil', 'water chestnut', 'shiitake', 'jasmine', 'soy sauce', 'gin', 'soybean', 'bonito']"
winter savory (weighted),"['summer savory', 'sage', 'mint', 'marjoram', 'cumin', 'saffron', 'allspice', 'star anise', 'turmeric', 'lovage']"
winter savory (n. moledules),"['rosemary', 'basil', 'marjoram', 'oregano', 'laurel', 'ginger', 'black pepper', 'spearmint', 'sage', 'nutmeg']"
winter savory (word emb.),"['laurel', 'summer savory', 'camembert cheese', 'gruyere cheese', 'rose', 'emmental cheese', 'sage', 'comte cheese', 'truffle', 'brandy']"
yogurt (weighted),"['cod', 'honey', 'wholewheat bread', 'egg', 'buttermilk', 'turkey', 'vinegar', 'butter', 'cheese', 'soy sauce']"
yogurt (n. moledules),"['butter', 'beer', 'coffee', 'tea', 'tomato', 'mushroom', 'rice', 'guava', 'soybean', 'apple']"
yogurt (word emb.),"['chickpea', 'asafoetida', 'feta cheese', 'mango', 'melon', 'curry leaf', 'pomegranate', 'lime', 'buttermilk', 'mustard oil']"
zucchini (weighted),"['beetroot', 'pistachio', 'chard', 'turnip', 'cashew nut', 'japanese pumpkin', 'eggplant', 'dates', 'hazelnut', 'lentils']"
zucchini (n. moledules),"['pepper', 'cucumber', 'beetroot', 'lettuce', 'carrot', 'eggplant', 'green beans', 'wheat', 'broccoli', 'peas']"
zucchini (word emb.),"['romano cheese', 'mozzarella cheese', 'macaroni', 'artichoke', 'chickpea', 'chard', 'ricotta cheese', 'barley', 'olive', 'oregano']"
